Index,Score,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Keyword6,Keyword7,Keyword8,Keyword9,Keyword10,Keyword11,Keyword12,Keyword13,Keyword14,Keyword15,Keyword16,Keyword17,Keyword18,Keyword19,Keyword20,Keyword21
1,25,5,2,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2,93,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,90,5,1,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
4,15,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,65,17,7,4,7,22,13,0,4,11,1,0,0,8,0,0,0,0,0,0,0,0
6,55,3,3,3,3,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
7,87,3,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,55,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,95,4,2,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
10,85,19,20,12,20,0,12,1,12,6,6,5,0,0,0,0,0,0,0,0,0,0
11,98,25,10,6,10,5,19,1,6,2,0,0,0,5,1,0,1,0,0,0,0,0
12,45,4,2,2,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
13,90,15,12,10,12,4,0,1,10,5,0,1,0,0,0,0,0,0,0,0,0,0
14,20,4,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
